Date,Price,Open,High,Low,Vol.,Change %
01/01/2025,559.50,551.75,569.75,526.00,1.54M,1.45%
12/01/2024,551.50,536.25,559.25,526.50,581.54K,0.64%
11/01/2024,548.00,591.25,597.00,543.00,1.30M,-3.94%
10/01/2024,570.50,584.00,617.25,557.75,1.57M,-2.31%
09/01/2024,584.00,531.50,596.25,530.50,629.29K,5.89%
08/01/2024,551.50,551.75,574.75,520.75,1.33M,4.60%
07/01/2024,527.25,556.50,573.00,514.25,718.77K,-4.74%
06/01/2024,553.50,678.00,697.75,538.00,1.32M,-20.87%
05/01/2024,699.50,604.25,739.25,593.50,1.16M,19.57%
04/01/2024,585.00,562.00,614.50,534.25,1.10M,1.61%
03/01/2024,575.75,575.00,583.50,523.50,995.25K,-0.30%
02/01/2024,577.50,595.25,611.50,555.25,1.07M,-4.58%
01/01/2024,605.25,640.00,640.00,585.25,424.34K,-3.62%
12/01/2023,628.00,569.25,639.75,569.25,386.60K,5.02%
11/01/2023,598.00,556.88,599.00,541.00,72.63K,7.51%
10/01/2023,556.25,544.30,604.10,541.10,72.02K,2.72%
09/01/2023,541.50,574.00,607.50,540.00,543.61K,-10.05%
08/01/2023,602.00,668.50,683.90,586.40,64.12K,-9.58%
07/01/2023,665.75,646.62,777.12,622.00,104.58K,2.27%
06/01/2023,651.00,608.00,770.25,607.00,1.28M,9.55%
05/01/2023,594.25,633.80,668.50,573.25,74.48K,-6.23%
04/01/2023,633.75,698.38,710.12,624.25,61.85K,-8.45%
03/01/2023,692.25,691.25,724.00,654.00,775.26K,-1.88%
02/01/2023,705.50,760.70,797.40,702.50,57.46K,-7.32%
01/01/2023,761.25,792.00,794.50,712.50,59.64K,-3.88%
12/01/2022,792.00,767.50,799.00,702.50,375.77K,-0.44%
11/01/2022,795.50,879.50,903.90,771.00,45.18K,-9.83%
10/01/2022,882.25,927.50,949.62,822.88,33.95K,-4.26%
09/01/2022,921.50,802.75,945.75,773.00,617.46K,10.82%
08/01/2022,831.50,814.12,848.50,725.88,28.06K,2.94%
07/01/2022,807.75,890.25,940.00,754.25,47.27K,-8.63%
06/01/2022,884.00,1091.00,1108.62,881.00,42.37K,-18.75%
05/01/2022,1088.00,1045.25,1283.60,1034.25,25.54K,3.05%
04/01/2022,1055.75,1003.00,1143.50,982.00,785.79K,4.95%
03/01/2022,1006.00,936.75,1362.12,932.50,0.15K,8.41%
02/01/2022,928.00,762.50,951.25,740.00,1.06M,21.90%
01/01/2022,761.25,771.62,831.40,735.75,44.59K,-1.23%
12/01/2021,770.75,784.00,824.00,751.00,480.19K,-0.39%
11/01/2021,773.75,774.50,863.25,762.50,1.19M,0.13%
10/01/2021,772.75,725.00,780.00,712.75,995.02K,6.48%
09/01/2021,725.75,723.62,733.10,678.50,,0.24%
08/01/2021,724.00,705.25,774.62,704.25,,2.91%
07/01/2021,703.50,678.62,717.90,609.60,,3.42%
06/01/2021,680.25,673.62,704.00,632.62,,2.43%
05/01/2021,664.12,733.25,767.00,639.75,,-9.68%
04/01/2021,735.30,622.00,769.40,601.38,,18.84%
03/01/2021,618.75,662.12,668.62,593.38,,-6.27%
02/01/2021,660.12,657.00,688.38,625.75,,-0.38%
01/01/2021,662.62,641.75,693.12,625.75,,3.25%
12/01/2020,641.75,579.38,644.38,563.50,,10.46%
11/01/2020,581.00,596.75,625.88,579.50,,-2.92%
10/01/2020,598.50,575.12,637.62,561.38,,3.53%
09/01/2020,578.12,541.88,586.62,533.38,,5.79%
08/01/2020,546.50,526.12,551.75,488.12,,2.92%
07/01/2020,531.00,490.50,551.62,477.50,,8.20%
06/01/2020,490.75,520.25,528.62,468.25,,-5.92%
05/01/2020,521.62,522.38,527.75,493.88,,-0.36%
04/01/2020,523.50,567.25,571.75,506.88,,-7.79%
03/01/2020,567.75,525.25,586.88,492.12,,8.09%
02/01/2020,525.25,551.12,570.38,512.62,,-5.08%
01/01/2020,553.38,559.50,592.38,545.38,,-1.07%
12/01/2019,559.38,542.38,564.62,516.38,,3.18%
11/01/2019,542.12,508.50,545.88,498.62,,6.56%
10/01/2019,508.75,496.25,534.88,485.38,,2.67%
09/01/2019,495.50,461.88,500.88,450.62,,7.40%
08/01/2019,461.38,487.00,505.38,456.25,,-5.16%
07/01/2019,486.50,530.62,531.38,483.38,,-7.51%
06/01/2019,526.00,507.00,557.12,488.12,,4.18%
05/01/2019,504.88,427.88,521.62,418.62,,17.69%
04/01/2019,429.00,459.12,477.38,426.12,,-6.43%
03/01/2019,458.50,458.75,477.88,427.12,,-0.05%
02/01/2019,458.75,516.50,531.12,458.12,,-11.18%
01/01/2019,516.50,503.12,528.88,501.38,,2.68%
12/01/2018,503.00,527.75,538.50,503.00,,-2.42%
11/01/2018,515.50,500.75,520.75,495.50,,2.84%
10/01/2018,501.25,509.75,527.25,485.50,,-1.81%
09/01/2018,510.50,537.75,542.50,495.25,,-6.59%
08/01/2018,546.50,554.50,593.00,513.00,,-1.44%
07/01/2018,554.50,501.75,565.00,471.25,,10.46%
06/01/2018,502.00,524.50,538.75,467.50,,-4.34%
05/01/2018,524.75,513.00,554.00,486.25,,2.64%
04/01/2018,511.25,454.00,513.00,445.75,,13.17%
03/01/2018,451.75,495.50,518.50,441.50,,-8.27%
02/01/2018,492.50,451.50,499.50,438.75,,9.08%
01/01/2018,451.50,429.50,458.75,413.25,,5.61%
12/01/2017,427.50,432.50,442.75,411.00,,-1.58%
11/01/2017,434.38,418.75,439.00,409.12,,3.79%
10/01/2017,418.50,445.00,450.50,416.50,,-6.64%
09/01/2017,448.25,434.75,462.75,428.50,,2.93%
08/01/2017,435.50,472.25,478.00,400.75,,-8.17%
07/01/2017,474.25,539.62,574.25,472.00,,-9.80%
06/01/2017,525.75,429.38,525.75,421.62,,22.41%
05/01/2017,429.50,441.50,461.50,420.50,,-0.72%
04/01/2017,432.62,430.50,436.50,400.25,,1.61%
03/01/2017,425.75,443.00,462.50,417.00,,-4.06%
02/01/2017,443.75,421.25,464.25,417.25,,5.40%
01/01/2017,421.00,408.38,437.62,405.00,,3.25%
12/01/2016,407.75,403.75,420.75,392.75,,1.18%
11/01/2016,403.00,416.00,421.25,392.75,,-2.95%
10/01/2016,415.25,400.50,428.25,391.75,,3.36%
09/01/2016,401.75,391.50,411.75,389.75,,3.68%
08/01/2016,387.50,407.75,432.50,381.25,,-4.85%
07/01/2016,407.25,445.38,451.50,403.75,,-9.10%
06/01/2016,448.00,463.38,523.88,438.00,,-3.40%
05/01/2016,463.75,486.75,492.75,455.00,,-5.21%
04/01/2016,489.25,473.75,510.75,446.25,,3.11%
03/01/2016,474.50,453.38,479.38,442.38,,4.77%
